x,y,yaw
21.5248,18.7196,1.8645
21.4923,18.8304,1.8591
21.4587,18.9404,1.8648
21.4270,19.0502,1.8556
21.3947,19.1605,1.8551
21.3625,19.2716,1.8544
21.3306,19.3826,1.8513
21.3005,19.4931,1.8414
21.2688,19.6034,1.8484
21.2361,19.7138,1.8555
21.2049,19.8240,1.8478
21.1738,19.9344,1.8477
21.1425,20.0448,1.8454
21.1118,20.1554,1.8441
21.0799,20.2664,1.8492
21.0471,20.3770,1.8553
21.0151,20.4886,1.8507
20.9834,20.6006,1.8485
20.9516,20.7109,1.8521
20.9187,20.8205,1.8595
20.8847,20.9296,1.8678
20.8504,21.0392,1.8721
20.8163,21.1491,1.8726
20.7813,21.2586,1.8771
20.7461,21.3678,1.8811
20.7106,21.4761,1.8861
20.6739,21.5837,1.8964
20.6355,21.6897,1.9121
20.5960,21.7953,1.9232
20.5561,21.9002,1.9308
20.5145,22.0040,1.9457
20.4711,22.1060,1.9645
20.4260,22.2069,1.9828
20.3789,22.3075,1.9996
20.3310,22.4080,2.0086
20.2820,22.5076,2.0231
20.2314,22.6070,2.0349
20.1808,22.7038,2.0481
20.1268,22.7967,2.0813
20.0712,22.8903,2.0963
20.0135,22.9825,2.1181
19.9541,23.0738,2.1372
19.8934,23.1639,2.1529
19.8311,23.2528,2.1733
19.7672,23.3397,2.1933
19.7009,23.4258,2.2153
19.6324,23.5106,2.2372
19.5626,23.5956,2.2503
19.4911,23.6794,2.2687
19.4175,23.7626,2.2848
19.3435,23.8443,2.3000
19.2683,23.9250,2.3127
19.1939,24.0035,2.3244
19.1184,24.0793,2.3452
19.0416,24.1523,2.3676
18.9646,24.2226,2.3906
18.8861,24.2871,2.4298
18.8054,24.3517,2.4486
18.7227,24.4172,2.4617
18.6389,24.4817,2.4777
18.5529,24.5447,2.4986
18.4651,24.6053,2.5236
18.3761,24.6637,2.5465
18.2855,24.7201,2.5703
18.1938,24.7756,2.5872
18.1007,24.8285,2.6099
18.0079,24.8791,2.6318
17.9127,24.9278,2.6556
17.8153,24.9750,2.6754
17.7167,25.0220,2.6891
17.6175,25.0666,2.7103
17.5172,25.1084,2.7330
17.4165,25.1482,2.7548
17.3142,25.1852,2.7792
17.2102,25.2224,2.7907
17.1049,25.2595,2.7979
16.9989,25.2964,2.8046
16.8944,25.3302,2.8229
16.7924,25.3595,2.8494
16.6882,25.3869,2.8689
16.5826,25.4152,2.8765
16.4774,25.4404,2.8973
16.3714,25.4626,2.9223
16.2663,25.4821,2.9463
16.1607,25.4974,2.9787
16.0530,25.5128,2.9889
15.9441,25.5284,2.9961
15.8352,25.5410,3.0168
15.7247,25.5530,3.0268
15.6129,25.5638,3.0389
15.5002,25.5736,3.0493
15.3871,25.5820,3.0630
15.2733,25.5887,3.0760
15.1590,25.5944,3.0867
15.0446,25.5996,3.0928
14.9296,25.6043,3.0982
14.8143,25.6087,3.1013
14.6990,25.6127,3.1055
14.5841,25.6154,3.1140
14.4695,25.6195,3.1075
14.3582,25.6210,3.1248
14.2478,25.6192,-3.1360
14.1360,25.6167,-3.1267
14.0231,25.6151,-3.1299
13.9093,25.6140,-3.1298
13.7946,25.6121,-3.1273
13.6791,25.6104,-3.1263
13.5640,25.6091,-3.1313
13.4486,25.6093,-3.1389
13.3328,25.6086,-3.1354
